Iterations,Accuracy (%),ATK,Aggregator,seed,f,niid
150,84.54527243589743,GA,FGC,1,4,0.1
180,86.72876602564102,GA,FGC,1,4,0.1
210,88.2411858974359,GA,FGC,1,4,0.1
240,88.97235576923077,GA,FGC,1,4,0.1
270,89.65344551282051,GA,FGC,1,4,0.1
300,90.38461538461539,GA,FGC,1,4,0.1
330,91.02564102564102,GA,FGC,1,4,0.1
360,91.3661858974359,GA,FGC,1,4,0.1
390,91.86698717948718,GA,FGC,1,4,0.1
420,92.31770833333333,GA,FGC,1,4,0.1
450,92.63822115384616,GA,FGC,1,4,0.1
480,92.85857371794872,GA,FGC,1,4,0.1
510,93.11899038461539,GA,FGC,1,4,0.1
540,93.16907051282051,GA,FGC,1,4,0.1
570,93.52964743589743,GA,FGC,1,4,0.1
600,93.76001602564102,GA,FGC,1,4,0.1
630,93.94030448717949,GA,FGC,1,4,0.1
660,94.24078525641026,GA,FGC,1,4,0.1
690,94.34094551282051,GA,FGC,1,4,0.1
720,94.5713141025641,GA,FGC,1,4,0.1
750,94.67147435897436,GA,FGC,1,4,0.1
780,94.921875,GA,FGC,1,4,0.1
810,95.0020032051282,GA,FGC,1,4,0.1
840,94.98197115384616,GA,FGC,1,4,0.1
870,95.13221153846153,GA,FGC,1,4,0.1
900,95.25240384615384,GA,FGC,1,4,0.1
930,95.32251602564102,GA,FGC,1,4,0.1
960,95.51282051282051,GA,FGC,1,4,0.1
990,95.67307692307692,GA,FGC,1,4,0.1
1020,95.6630608974359,GA,FGC,1,4,0.1
1050,95.79326923076923,GA,FGC,1,4,0.1
1080,95.89342948717949,GA,FGC,1,4,0.1
1110,95.88341346153847,GA,FGC,1,4,0.1
1140,95.9735576923077,GA,FGC,1,4,0.1
1170,96.15384615384616,GA,FGC,1,4,0.1
1200,96.04366987179488,GA,FGC,1,4,0.1
1230,96.25400641025641,GA,FGC,1,4,0.1
1260,96.29407051282051,GA,FGC,1,4,0.1
1290,96.3641826923077,GA,FGC,1,4,0.1
1320,96.43429487179488,GA,FGC,1,4,0.1
1350,96.51442307692308,GA,FGC,1,4,0.1
1380,96.54447115384616,GA,FGC,1,4,0.1
1410,96.5645032051282,GA,FGC,1,4,0.1
1440,96.61458333333333,GA,FGC,1,4,0.1
1470,96.68469551282051,GA,FGC,1,4,0.1
1500,96.73477564102564,GA,FGC,1,4,0.1
30,53.58573717948718,GA,FGC,1,5,0.1
60,76.04166666666667,GA,FGC,1,5,0.1
90,80.10817307692308,GA,FGC,1,5,0.1
120,83.92427884615384,GA,FGC,1,5,0.1
150,85.31650641025641,GA,FGC,1,5,0.1
180,87.34975961538461,GA,FGC,1,5,0.1
210,88.46153846153847,GA,FGC,1,5,0.1
240,89.30288461538461,GA,FGC,1,5,0.1
270,89.77363782051282,GA,FGC,1,5,0.1
300,90.63501602564102,GA,FGC,1,5,0.1
330,91.015625,GA,FGC,1,5,0.1
360,91.34615384615384,GA,FGC,1,5,0.1
390,91.8770032051282,GA,FGC,1,5,0.1
420,92.29767628205128,GA,FGC,1,5,0.1
450,92.4579326923077,GA,FGC,1,5,0.1
480,92.72836538461539,GA,FGC,1,5,0.1
510,92.98878205128206,GA,FGC,1,5,0.1
540,93.29927884615384,GA,FGC,1,5,0.1
570,93.82011217948718,GA,FGC,1,5,0.1
600,93.98036858974359,GA,FGC,1,5,0.1
630,94.05048076923077,GA,FGC,1,5,0.1
660,94.12059294871794,GA,FGC,1,5,0.1
690,94.32091346153847,GA,FGC,1,5,0.1
720,94.42107371794872,GA,FGC,1,5,0.1
750,94.4911858974359,GA,FGC,1,5,0.1
780,94.73157051282051,GA,FGC,1,5,0.1
810,94.8417467948718,GA,FGC,1,5,0.1
840,94.99198717948718,GA,FGC,1,5,0.1
870,95.01201923076923,GA,FGC,1,5,0.1
900,95.15224358974359,GA,FGC,1,5,0.1
930,95.21233974358974,GA,FGC,1,5,0.1
960,95.28245192307692,GA,FGC,1,5,0.1
990,95.30248397435898,GA,FGC,1,5,0.1
1020,95.41266025641026,GA,FGC,1,5,0.1
1050,95.50280448717949,GA,FGC,1,5,0.1
1080,95.68309294871794,GA,FGC,1,5,0.1
1110,95.69310897435898,GA,FGC,1,5,0.1
1140,95.86338141025641,GA,FGC,1,5,0.1
1170,95.90344551282051,GA,FGC,1,5,0.1
1200,95.94350961538461,GA,FGC,1,5,0.1
1230,95.93349358974359,GA,FGC,1,5,0.1
1260,96.11378205128206,GA,FGC,1,5,0.1
