Iterations,Accuracy (%),niid,Aggregator,seed,f
1290,30.78926282051282,0.3,Average,3,6
1320,35.18629807692308,0.3,Average,3,6
1350,34.79567307692308,0.3,Average,3,6
1380,26.852964743589745,0.3,Average,3,6
1410,39.44310897435897,0.3,Average,3,6
1440,27.403846153846153,0.3,Average,3,6
1470,21.193910256410255,0.3,Average,3,6
1500,24.53926282051282,0.3,Average,3,6
30,16.055689102564102,0.5,Average,3,6
60,16.77684294871795,0.5,Average,3,6
90,22.65625,0.5,Average,3,6
120,30.25841346153846,0.5,Average,3,6
150,41.666666666666664,0.5,Average,3,6
180,31.85096153846154,0.5,Average,3,6
210,30.53886217948718,0.5,Average,3,6
240,45.76322115384615,0.5,Average,3,6
270,35.35657051282051,0.5,Average,3,6
300,22.93669871794872,0.5,Average,3,6
330,29.38701923076923,0.5,Average,3,6
360,28.365384615384617,0.5,Average,3,6
390,35.827323717948715,0.5,Average,3,6
420,22.28565705128205,0.5,Average,3,6
450,19.471153846153847,0.5,Average,3,6
480,19.060496794871796,0.5,Average,3,6
510,12.059294871794872,0.5,Average,3,6
540,14.513221153846153,0.5,Average,3,6
570,16.51642628205128,0.5,Average,3,6
600,18.75,0.5,Average,3,6
630,14.873798076923077,0.5,Average,3,6
660,21.013621794871796,0.5,Average,3,6
690,19.74158653846154,0.5,Average,3,6
720,19.391025641025642,0.5,Average,3,6
750,25.350560897435898,0.5,Average,3,6
780,20.843349358974358,0.5,Average,3,6
810,15.14423076923077,0.5,Average,3,6
840,42.06730769230769,0.5,Average,3,6
870,20.582932692307693,0.5,Average,3,6
900,15.09415064102564,0.5,Average,3,6
930,23.878205128205128,0.5,Average,3,6
960,19.240785256410255,0.5,Average,3,6
990,21.915064102564102,0.5,Average,3,6
1020,15.384615384615385,0.5,Average,3,6
1050,21.404246794871796,0.5,Average,3,6
1080,12.459935897435898,0.5,Average,3,6
1110,22.516025641025642,0.5,Average,3,6
1140,11.55849358974359,0.5,Average,3,6
1170,10.606971153846153,0.5,Average,3,6
1200,15.064102564102564,0.5,Average,3,6
1230,14.533253205128204,0.5,Average,3,6
1260,18.169070512820515,0.5,Average,3,6
1290,13.571714743589743,0.5,Average,3,6
1320,13.481570512820513,0.5,Average,3,6
1350,21.02363782051282,0.5,Average,3,6
1380,15.92548076923077,0.5,Average,3,6
1410,18.008814102564102,0.5,Average,3,6
1440,17.16746794871795,0.5,Average,3,6
1470,18.17908653846154,0.5,Average,3,6
1500,22.74639423076923,0.5,Average,3,6
30,15.514823717948717,0.7,Average,3,6
60,33.874198717948715,0.7,Average,3,6
90,27.784455128205128,0.7,Average,3,6
120,31.129807692307693,0.7,Average,3,6
150,22.95673076923077,0.7,Average,3,6
180,24.949919871794872,0.7,Average,3,6
210,34.79567307692308,0.7,Average,3,6
240,33.36338141025641,0.7,Average,3,6
270,27.16346153846154,0.7,Average,3,6
300,16.947115384615383,0.7,Average,3,6
330,18.900240384615383,0.7,Average,3,6
360,17.36778846153846,0.7,Average,3,6
390,19.16065705128205,0.7,Average,3,6
420,19.100560897435898,0.7,Average,3,6
450,13.58173076923077,0.7,Average,3,6
480,11.848958333333334,0.7,Average,3,6
510,10.677083333333334,0.7,Average,3,6
540,12.399839743589743,0.7,Average,3,6
570,12.890625,0.7,Average,3,6
600,13.19110576923077,0.7,Average,3,6
630,11.227964743589743,0.7,Average,3,6
660,15.264423076923077,0.7,Average,3,6
690,10.356570512820513,0.7,Average,3,6
720,14.643429487179487,0.7,Average,3,6
750,14.372996794871796,0.7,Average,3,6
780,12.399839743589743,0.7,Average,3,6
810,11.668669871794872,0.7,Average,3,6
840,16.376201923076923,0.7,Average,3,6
870,16.29607371794872,0.7,Average,3,6
900,16.90705128205128,0.7,Average,3,6
930,17.16746794871795,0.7,Average,3,6
960,23.006810897435898,0.7,Average,3,6
990,14.232772435897436,0.7,Average,3,6
1020,11.909054487179487,0.7,Average,3,6
1050,12.840544871794872,0.7,Average,3,6
1080,13.51161858974359,0.7,Average,3,6
1110,14.653445512820513,0.7,Average,3,6
1140,10.01602564102564,0.7,Average,3,6
1170,10.68709935897436,0.7,Average,3,6
1200,19.330929487179485,0.7,Average,3,6
1230,20.122195512820515,0.7,Average,3,6
1260,10.837339743589743,0.7,Average,3,6
1290,10.576923076923077,0.7,Average,3,6
1320,11.909054487179487,0.7,Average,3,6
1350,10.857371794871796,0.7,Average,3,6
1380,11.127804487179487,0.7,Average,3,6
1410,18.14903846153846,0.7,Average,3,6
1440,11.889022435897436,0.7,Average,3,6
1470,10.056089743589743,0.7,Average,3,6
1500,12.770432692307692,0.7,Average,3,6
30,47.546073717948715,0.3,GM,1,6
60,68.89022435897436,0.3,GM,1,6
90,78.5556891025641,0.3,GM,1,6
120,82.98277243589743,0.3,GM,1,6
150,85.14623397435898,0.3,GM,1,6
180,87.12940705128206,0.3,GM,1,6
210,87.9306891025641,0.3,GM,1,6
240,89.39302884615384,0.3,GM,1,6
270,90.09415064102564,0.3,GM,1,6
300,90.88541666666667,0.3,GM,1,6
330,91.0957532051282,0.3,GM,1,6
360,91.57652243589743,0.3,GM,1,6
390,91.84695512820512,0.3,GM,1,6
420,91.57652243589743,0.3,GM,1,6
450,92.39783653846153,0.3,GM,1,6
480,92.3076923076923,0.3,GM,1,6
510,92.42788461538461,0.3,GM,1,6
540,92.63822115384616,0.3,GM,1,6
570,92.99879807692308,0.3,GM,1,6
600,92.73838141025641,0.3,GM,1,6
630,93.37940705128206,0.3,GM,1,6
660,93.29927884615384,0.3,GM,1,6
690,93.0088141025641,0.3,GM,1,6
720,93.86017628205128,0.3,GM,1,6
750,93.89022435897436,0.3,GM,1,6
780,93.46955128205128,0.3,GM,1,6
810,94.07051282051282,0.3,GM,1,6
840,94.19070512820512,0.3,GM,1,6
870,94.11057692307692,0.3,GM,1,6
900,94.35096153846153,0.3,GM,1,6
930,94.62139423076923,0.3,GM,1,6
960,94.63141025641026,0.3,GM,1,6
990,94.71153846153847,0.3,GM,1,6
1020,95.05208333333333,0.3,GM,1,6
