Iterations,Accuracy (%),niid,Aggregator,seed,f
1950,9.985977564102564,0.5,Average,2,6
1980,10.006009615384615,0.5,Average,2,6
2010,9.99599358974359,0.5,Average,2,6
2040,10.01602564102564,0.5,Average,2,6
2070,10.01602564102564,0.5,Average,2,6
2100,9.985977564102564,0.5,Average,2,6
2130,10.01602564102564,0.5,Average,2,6
2160,9.945913461538462,0.5,Average,2,6
2190,10.01602564102564,0.5,Average,2,6
2220,10.006009615384615,0.5,Average,2,6
2250,10.006009615384615,0.5,Average,2,6
2280,10.036057692307692,0.5,Average,2,6
2310,10.146233974358974,0.5,Average,2,6
2340,10.01602564102564,0.5,Average,2,6
2370,10.006009615384615,0.5,Average,2,6
2400,10.01602564102564,0.5,Average,2,6
2430,10.006009615384615,0.5,Average,2,6
2460,10.006009615384615,0.5,Average,2,6
2490,10.006009615384615,0.5,Average,2,6
2520,10.006009615384615,0.5,Average,2,6
2550,9.99599358974359,0.5,Average,2,6
2580,9.99599358974359,0.5,Average,2,6
2610,10.006009615384615,0.5,Average,2,6
2640,10.006009615384615,0.5,Average,2,6
2670,10.006009615384615,0.5,Average,2,6
2700,10.006009615384615,0.5,Average,2,6
2730,10.006009615384615,0.5,Average,2,6
2760,10.006009615384615,0.5,Average,2,6
2790,10.006009615384615,0.5,Average,2,6
2820,10.006009615384615,0.5,Average,2,6
2850,10.006009615384615,0.5,Average,2,6
2880,10.006009615384615,0.5,Average,2,6
2910,10.046073717948717,0.5,Average,2,6
2940,10.006009615384615,0.5,Average,2,6
2970,9.985977564102564,0.5,Average,2,6
3000,9.985977564102564,0.5,Average,2,6
30,10.01602564102564,0.7,Average,2,6
60,10.84735576923077,0.7,Average,2,6
90,9.985977564102564,0.7,Average,2,6
120,10.01602564102564,0.7,Average,2,6
150,10.01602564102564,0.7,Average,2,6
180,9.585336538461538,0.7,Average,2,6
210,9.985977564102564,0.7,Average,2,6
240,10.01602564102564,0.7,Average,2,6
270,10.236378205128204,0.7,Average,2,6
300,10.01602564102564,0.7,Average,2,6
330,9.985977564102564,0.7,Average,2,6
360,9.985977564102564,0.7,Average,2,6
390,10.01602564102564,0.7,Average,2,6
420,10.01602564102564,0.7,Average,2,6
450,11.939102564102564,0.7,Average,2,6
480,10.737179487179487,0.7,Average,2,6
510,11.197916666666666,0.7,Average,2,6
540,10.727163461538462,0.7,Average,2,6
570,9.525240384615385,0.7,Average,2,6
600,9.985977564102564,0.7,Average,2,6
630,10.01602564102564,0.7,Average,2,6
660,9.985977564102564,0.7,Average,2,6
690,10.01602564102564,0.7,Average,2,6
720,10.01602564102564,0.7,Average,2,6
750,10.01602564102564,0.7,Average,2,6
780,9.985977564102564,0.7,Average,2,6
810,10.01602564102564,0.7,Average,2,6
840,9.985977564102564,0.7,Average,2,6
870,10.01602564102564,0.7,Average,2,6
900,9.985977564102564,0.7,Average,2,6
930,9.985977564102564,0.7,Average,2,6
960,9.985977564102564,0.7,Average,2,6
990,9.985977564102564,0.7,Average,2,6
1020,10.01602564102564,0.7,Average,2,6
1050,9.985977564102564,0.7,Average,2,6
1080,9.99599358974359,0.7,Average,2,6
1110,9.985977564102564,0.7,Average,2,6
1140,9.99599358974359,0.7,Average,2,6
1170,10.01602564102564,0.7,Average,2,6
1200,10.006009615384615,0.7,Average,2,6
1230,10.006009615384615,0.7,Average,2,6
1260,10.01602564102564,0.7,Average,2,6
1290,9.985977564102564,0.7,Average,2,6
1320,10.01602564102564,0.7,Average,2,6
1350,10.006009615384615,0.7,Average,2,6
1380,10.01602564102564,0.7,Average,2,6
1410,9.975961538461538,0.7,Average,2,6
1440,9.985977564102564,0.7,Average,2,6
1470,10.006009615384615,0.7,Average,2,6
1500,10.01602564102564,0.7,Average,2,6
1530,10.01602564102564,0.7,Average,2,6
1560,10.01602564102564,0.7,Average,2,6
1590,9.985977564102564,0.7,Average,2,6
1620,9.99599358974359,0.7,Average,2,6
1650,9.985977564102564,0.7,Average,2,6
1680,9.985977564102564,0.7,Average,2,6
1710,9.985977564102564,0.7,Average,2,6
1740,10.046073717948717,0.7,Average,2,6
1770,9.985977564102564,0.7,Average,2,6
1800,9.985977564102564,0.7,Average,2,6
1830,9.985977564102564,0.7,Average,2,6
1860,10.006009615384615,0.7,Average,2,6
1890,9.985977564102564,0.7,Average,2,6
1920,9.985977564102564,0.7,Average,2,6
1950,9.985977564102564,0.7,Average,2,6
1980,10.006009615384615,0.7,Average,2,6
2010,9.99599358974359,0.7,Average,2,6
2040,10.01602564102564,0.7,Average,2,6
2070,10.01602564102564,0.7,Average,2,6
2100,9.985977564102564,0.7,Average,2,6
2130,10.01602564102564,0.7,Average,2,6
2160,9.99599358974359,0.7,Average,2,6
2190,10.01602564102564,0.7,Average,2,6
2220,10.006009615384615,0.7,Average,2,6
2250,10.006009615384615,0.7,Average,2,6
2280,9.935897435897436,0.7,Average,2,6
2310,10.01602564102564,0.7,Average,2,6
2340,9.955929487179487,0.7,Average,2,6
2370,10.036057692307692,0.7,Average,2,6
2400,10.046073717948717,0.7,Average,2,6
2430,10.186298076923077,0.7,Average,2,6
2460,10.366586538461538,0.7,Average,2,6
2490,10.046073717948717,0.7,Average,2,6
2520,10.396634615384615,0.7,Average,2,6
2550,9.985977564102564,0.7,Average,2,6
2580,10.416666666666666,0.7,Average,2,6
2610,10.38661858974359,0.7,Average,2,6
2640,10.326522435897436,0.7,Average,2,6
2670,10.056089743589743,0.7,Average,2,6
2700,10.026041666666666,0.7,Average,2,6
2730,10.336538461538462,0.7,Average,2,6
2760,10.396634615384615,0.7,Average,2,6
2790,10.647035256410257,0.7,Average,2,6
2820,11.02764423076923,0.7,Average,2,6
2850,10.63701923076923,0.7,Average,2,6
2880,11.227964743589743,0.7,Average,2,6
2910,10.576923076923077,0.7,Average,2,6
2940,9.985977564102564,0.7,Average,2,6
2970,9.99599358974359,0.7,Average,2,6
3000,9.985977564102564,0.7,Average,2,6
30,11.047676282051283,0.3,Average,3,6
60,10.536858974358974,0.3,Average,3,6
90,14.22275641025641,0.3,Average,3,6
120,11.498397435897436,0.3,Average,3,6
150,15.034054487179487,0.3,Average,3,6
180,16.10576923076923,0.3,Average,3,6
210,14.022435897435898,0.3,Average,3,6
240,9.67548076923077,0.3,Average,3,6
270,9.895833333333334,0.3,Average,3,6
300,10.206330128205128,0.3,Average,3,6
330,10.867387820512821,0.3,Average,3,6
360,15.474759615384615,0.3,Average,3,6
390,12.26963141025641,0.3,Average,3,6
420,21.604567307692307,0.3,Average,3,6
450,15.164262820512821,0.3,Average,3,6
480,16.17588141025641,0.3,Average,3,6
510,18.008814102564102,0.3,Average,3,6
540,23.567708333333332,0.3,Average,3,6
570,21.454326923076923,0.3,Average,3,6
600,20.783253205128204,0.3,Average,3,6
630,22.24559294871795,0.3,Average,3,6
660,22.72636217948718,0.3,Average,3,6
690,18.209134615384617,0.3,Average,3,6
720,22.616185897435898,0.3,Average,3,6
750,10.747195512820513,0.3,Average,3,6
780,18.780048076923077,0.3,Average,3,6
810,19.090544871794872,0.3,Average,3,6
840,12.009214743589743,0.3,Average,3,6
870,12.690304487179487,0.3,Average,3,6
900,20.052083333333332,0.3,Average,3,6
930,16.376201923076923,0.3,Average,3,6
960,19.611378205128204,0.3,Average,3,6
990,18.739983974358974,0.3,Average,3,6
1020,10.336538461538462,0.3,Average,3,6
1050,12.159455128205128,0.3,Average,3,6
1080,21.25400641025641,0.3,Average,3,6
1110,22.74639423076923,0.3,Average,3,6
1140,17.838541666666668,0.3,Average,3,6
1170,23.948317307692307,0.3,Average,3,6
1200,20.532852564102566,0.3,Average,3,6
1230,21.09375,0.3,Average,3,6
1260,19.020432692307693,0.3,Average,3,6
1290,17.50801282051282,0.3,Average,3,6
1320,17.427884615384617,0.3,Average,3,6
