Iterations,Accuracy (%),ATK,Aggregator,seed,f
2400,77.86458333333333,LF,AVG,1,5
2430,77.76442307692308,LF,AVG,1,5
2460,77.91466346153847,LF,AVG,1,5
2490,78.01482371794872,LF,AVG,1,5
2520,77.66426282051282,LF,AVG,1,5
2550,77.71434294871794,LF,AVG,1,5
2580,77.58413461538461,LF,AVG,1,5
2610,78.22516025641026,LF,AVG,1,5
2640,77.95472756410257,LF,AVG,1,5
2670,77.97475961538461,LF,AVG,1,5
2700,77.4639423076923,LF,AVG,1,5
2730,77.98477564102564,LF,AVG,1,5
2760,78.2051282051282,LF,AVG,1,5
2790,77.8145032051282,LF,AVG,1,5
2820,78.0048076923077,LF,AVG,1,5
2850,78.0448717948718,LF,AVG,1,5
2880,78.11498397435898,LF,AVG,1,5
2910,77.76442307692308,LF,AVG,1,5
2940,77.79447115384616,LF,AVG,1,5
2970,77.51402243589743,LF,AVG,1,5
3000,78.02483974358974,LF,AVG,1,5
30,14.813701923076923,mimic,AVG,1,5
60,22.56610576923077,mimic,AVG,1,5
90,28.826121794871796,mimic,AVG,1,5
120,35.36658653846154,mimic,AVG,1,5
150,37.53004807692308,mimic,AVG,1,5
180,38.26121794871795,mimic,AVG,1,5
210,40.71514423076923,mimic,AVG,1,5
240,43.359375,mimic,AVG,1,5
270,45.29246794871795,mimic,AVG,1,5
300,47.936698717948715,mimic,AVG,1,5
330,48.537660256410255,mimic,AVG,1,5
360,48.517628205128204,mimic,AVG,1,5
390,51.92307692307692,mimic,AVG,1,5
420,53.30528846153846,mimic,AVG,1,5
450,50.45072115384615,mimic,AVG,1,5
480,55.8994391025641,mimic,AVG,1,5
510,53.37540064102564,mimic,AVG,1,5
540,57.10136217948718,mimic,AVG,1,5
570,58.53365384615385,mimic,AVG,1,5
600,57.41185897435897,mimic,AVG,1,5
630,60.03605769230769,mimic,AVG,1,5
660,60.08613782051282,mimic,AVG,1,5
690,61.70873397435897,mimic,AVG,1,5
720,62.189503205128204,mimic,AVG,1,5
750,63.591746794871796,mimic,AVG,1,5
780,62.87059294871795,mimic,AVG,1,5
810,64.31290064102564,mimic,AVG,1,5
840,64.32291666666667,mimic,AVG,1,5
870,63.22115384615385,mimic,AVG,1,5
900,64.70352564102564,mimic,AVG,1,5
930,65.22435897435898,mimic,AVG,1,5
960,65.38461538461539,mimic,AVG,1,5
990,66.46634615384616,mimic,AVG,1,5
1020,66.58653846153847,mimic,AVG,1,5
1050,67.81850961538461,mimic,AVG,1,5
1080,67.62820512820512,mimic,AVG,1,5
1110,69.1005608974359,mimic,AVG,1,5
1140,69.63141025641026,mimic,AVG,1,5
1170,70.13221153846153,mimic,AVG,1,5
1200,69.69150641025641,mimic,AVG,1,5
1230,68.26923076923077,mimic,AVG,1,5
1260,69.79166666666667,mimic,AVG,1,5
1290,68.51963141025641,mimic,AVG,1,5
1320,69.35096153846153,mimic,AVG,1,5
1350,70.34254807692308,mimic,AVG,1,5
1380,70.3926282051282,mimic,AVG,1,5
1410,71.08373397435898,mimic,AVG,1,5
1440,72.35576923076923,mimic,AVG,1,5
1470,71.34415064102564,mimic,AVG,1,5
1500,72.75641025641026,mimic,AVG,1,5
1530,74.08854166666667,mimic,AVG,1,5
1560,72.7764423076923,mimic,AVG,1,5
1590,72.97676282051282,mimic,AVG,1,5
