Iterations,Accuracy (%),Attack,Aggregator,seed,f,s
150,88.08092948717949,LF,FGC,1,4,0
180,88.88221153846153,LF,FGC,1,4,0
210,90.45472756410257,LF,FGC,1,4,0
240,91.08573717948718,LF,FGC,1,4,0
270,92.11738782051282,LF,FGC,1,4,0
300,93.0088141025641,LF,FGC,1,4,0
330,93.34935897435898,LF,FGC,1,4,0
360,93.61979166666667,LF,FGC,1,4,0
390,94.1005608974359,LF,FGC,1,4,0
420,94.33092948717949,LF,FGC,1,4,0
450,94.4911858974359,LF,FGC,1,4,0
480,94.79166666666667,LF,FGC,1,4,0
510,95.34254807692308,LF,FGC,1,4,0
540,95.56290064102564,LF,FGC,1,4,0
570,95.79326923076923,LF,FGC,1,4,0
600,95.99358974358974,LF,FGC,1,4,0
630,96.16386217948718,LF,FGC,1,4,0
660,96.29407051282051,LF,FGC,1,4,0
690,96.1738782051282,LF,FGC,1,4,0
720,96.59455128205128,LF,FGC,1,4,0
750,96.74479166666667,LF,FGC,1,4,0
780,96.8349358974359,LF,FGC,1,4,0
810,96.94511217948718,LF,FGC,1,4,0
840,97.16546474358974,LF,FGC,1,4,0
870,97.27564102564102,LF,FGC,1,4,0
900,97.27564102564102,LF,FGC,1,4,0
930,97.41586538461539,LF,FGC,1,4,0
960,97.36578525641026,LF,FGC,1,4,0
990,97.60616987179488,LF,FGC,1,4,0
1020,97.51602564102564,LF,FGC,1,4,0
1050,97.7764423076923,LF,FGC,1,4,0
1080,97.60616987179488,LF,FGC,1,4,0
1110,97.83653846153847,LF,FGC,1,4,0
1140,97.68629807692308,LF,FGC,1,4,0
1170,97.76642628205128,LF,FGC,1,4,0
1200,97.79647435897436,LF,FGC,1,4,0
1230,97.86658653846153,LF,FGC,1,4,0
1260,97.93669871794872,LF,FGC,1,4,0
1290,97.98677884615384,LF,FGC,1,4,0
1320,98.02684294871794,LF,FGC,1,4,0
1350,98.05689102564102,LF,FGC,1,4,0
1380,98.1270032051282,LF,FGC,1,4,0
1410,98.03685897435898,LF,FGC,1,4,0
1440,98.19711538461539,LF,FGC,1,4,0
1470,98.11698717948718,LF,FGC,1,4,0
1500,98.19711538461539,LF,FGC,1,4,0
30,27.283653846153847,LF,FGC,1,6,0
60,75.81129807692308,LF,FGC,1,6,0
90,83.203125,LF,FGC,1,6,0
120,86.10777243589743,LF,FGC,1,6,0
150,88.35136217948718,LF,FGC,1,6,0
180,89.4130608974359,LF,FGC,1,6,0
210,90.05408653846153,LF,FGC,1,6,0
240,91.62660256410257,LF,FGC,1,6,0
270,92.33774038461539,LF,FGC,1,6,0
300,92.93870192307692,LF,FGC,1,6,0
330,93.56971153846153,LF,FGC,1,6,0
360,93.86017628205128,LF,FGC,1,6,0
390,94.31089743589743,LF,FGC,1,6,0
420,94.77163461538461,LF,FGC,1,6,0
450,95.03205128205128,LF,FGC,1,6,0
480,95.29246794871794,LF,FGC,1,6,0
510,95.69310897435898,LF,FGC,1,6,0
540,95.94350961538461,LF,FGC,1,6,0
570,96.03365384615384,LF,FGC,1,6,0
600,96.26402243589743,LF,FGC,1,6,0
630,96.4042467948718,LF,FGC,1,6,0
660,96.64463141025641,LF,FGC,1,6,0
690,96.80488782051282,LF,FGC,1,6,0
720,96.62459935897436,LF,FGC,1,6,0
750,97.12540064102564,LF,FGC,1,6,0
780,96.58453525641026,LF,FGC,1,6,0
810,96.875,LF,FGC,1,6,0
