Iterations,Accuracy (%),Attack,Aggregator,seed,niid,s
600,95.24238782051282,GA,FGC,1,0.6,0
630,95.47275641025641,GA,FGC,1,0.6,0
660,95.86338141025641,GA,FGC,1,0.6,0
690,96.0136217948718,GA,FGC,1,0.6,0
720,96.07371794871794,GA,FGC,1,0.6,0
750,96.25400641025641,GA,FGC,1,0.6,0
780,96.57451923076923,GA,FGC,1,0.6,0
810,96.46434294871794,GA,FGC,1,0.6,0
840,96.80488782051282,GA,FGC,1,0.6,0
870,96.82491987179488,GA,FGC,1,0.6,0
900,96.9150641025641,GA,FGC,1,0.6,0
930,96.89503205128206,GA,FGC,1,0.6,0
960,97.07532051282051,GA,FGC,1,0.6,0
990,97.05528846153847,GA,FGC,1,0.6,0
1020,96.92508012820512,GA,FGC,1,0.6,0
1050,97.07532051282051,GA,FGC,1,0.6,0
1080,97.24559294871794,GA,FGC,1,0.6,0
1110,97.21554487179488,GA,FGC,1,0.6,0
1140,97.48597756410257,GA,FGC,1,0.6,0
1170,97.66626602564102,GA,FGC,1,0.6,0
1200,97.48597756410257,GA,FGC,1,0.6,0
1230,97.58613782051282,GA,FGC,1,0.6,0
1260,97.48597756410257,GA,FGC,1,0.6,0
1290,97.59615384615384,GA,FGC,1,0.6,0
1320,97.71634615384616,GA,FGC,1,0.6,0
1350,97.80649038461539,GA,FGC,1,0.6,0
1380,97.71634615384616,GA,FGC,1,0.6,0
1410,97.70633012820512,GA,FGC,1,0.6,0
1440,97.75641025641026,GA,FGC,1,0.6,0
1470,97.93669871794872,GA,FGC,1,0.6,0
1500,97.97676282051282,GA,FGC,1,0.6,0
30,55.84935897435897,LF,FGC,1,0.4,0
60,75.25040064102564,LF,FGC,1,0.4,0
90,83.6738782051282,LF,FGC,1,0.4,0
120,85.71714743589743,LF,FGC,1,0.4,0
150,88.04086538461539,LF,FGC,1,0.4,0
180,89.29286858974359,LF,FGC,1,0.4,0
210,90.90544871794872,LF,FGC,1,0.4,0
240,91.29607371794872,LF,FGC,1,0.4,0
270,92.5380608974359,LF,FGC,1,0.4,0
300,92.94871794871794,LF,FGC,1,0.4,0
330,93.25921474358974,LF,FGC,1,0.4,0
360,94.1005608974359,LF,FGC,1,0.4,0
390,94.140625,LF,FGC,1,0.4,0
420,94.21073717948718,LF,FGC,1,0.4,0
450,94.79166666666667,LF,FGC,1,0.4,0
480,95.25240384615384,LF,FGC,1,0.4,0
510,95.18229166666667,LF,FGC,1,0.4,0
540,95.61298076923077,LF,FGC,1,0.4,0
570,95.87339743589743,LF,FGC,1,0.4,0
600,95.95352564102564,LF,FGC,1,0.4,0
630,96.25400641025641,LF,FGC,1,0.4,0
660,96.32411858974359,LF,FGC,1,0.4,0
690,96.28405448717949,LF,FGC,1,0.4,0
720,96.5244391025641,LF,FGC,1,0.4,0
750,96.6045673076923,LF,FGC,1,0.4,0
780,96.68469551282051,LF,FGC,1,0.4,0
810,96.89503205128206,LF,FGC,1,0.4,0
840,97.13541666666667,LF,FGC,1,0.4,0
870,96.97516025641026,LF,FGC,1,0.4,0
900,97.13541666666667,LF,FGC,1,0.4,0
930,97.23557692307692,LF,FGC,1,0.4,0
960,97.39583333333333,LF,FGC,1,0.4,0
990,97.40584935897436,LF,FGC,1,0.4,0
1020,97.28565705128206,LF,FGC,1,0.4,0
1050,97.52604166666667,LF,FGC,1,0.4,0
1080,97.64623397435898,LF,FGC,1,0.4,0
1110,97.76642628205128,LF,FGC,1,0.4,0
1140,97.82652243589743,LF,FGC,1,0.4,0
1170,97.79647435897436,LF,FGC,1,0.4,0
1200,97.7363782051282,LF,FGC,1,0.4,0
1230,97.86658653846153,LF,FGC,1,0.4,0
1260,97.85657051282051,LF,FGC,1,0.4,0
1290,97.83653846153847,LF,FGC,1,0.4,0
1320,98.01682692307692,LF,FGC,1,0.4,0
1350,97.98677884615384,LF,FGC,1,0.4,0
