Iterations,Accuracy (%),ATK,$|\mathcal{B}|$,seed
60,71.12379807692308,GA,4,1
90,81.54046474358974,GA,4,1
120,82.4619391025641,GA,4,1
150,84.63541666666667,GA,4,1
180,86.37820512820512,GA,4,1
210,88.2011217948718,GA,4,1
240,89.12259615384616,GA,4,1
270,89.79366987179488,GA,4,1
300,90.61498397435898,GA,4,1
330,91.1358173076923,GA,4,1
360,91.64663461538461,GA,4,1
390,91.89703525641026,GA,4,1
420,92.27764423076923,GA,4,1
450,92.71834935897436,GA,4,1
480,93.11899038461539,GA,4,1
510,93.26923076923077,GA,4,1
540,93.51963141025641,GA,4,1
570,93.85016025641026,GA,4,1
600,93.97035256410257,GA,4,1
630,94.2608173076923,GA,4,1
660,94.32091346153847,GA,4,1
690,94.46113782051282,GA,4,1
720,94.58133012820512,GA,4,1
750,94.63141025641026,GA,4,1
780,94.69150641025641,GA,4,1
810,94.89182692307692,GA,4,1
840,95.12219551282051,GA,4,1
870,95.11217948717949,GA,4,1
900,95.22235576923077,GA,4,1
930,95.48277243589743,GA,4,1
960,95.72315705128206,GA,4,1
990,95.64302884615384,GA,4,1
1020,95.7832532051282,GA,4,1
1050,95.80328525641026,GA,4,1
1080,95.83333333333333,GA,4,1
1110,96.0136217948718,GA,4,1
1140,95.98357371794872,GA,4,1
1170,96.10376602564102,GA,4,1
1200,96.11378205128206,GA,4,1
1230,96.23397435897436,GA,4,1
1260,96.30408653846153,GA,4,1
1290,96.41426282051282,GA,4,1
1320,96.47435897435898,GA,4,1
1350,96.51442307692308,GA,4,1
1380,96.47435897435898,GA,4,1
1410,96.53445512820512,GA,4,1
1440,96.59455128205128,GA,4,1
1470,96.69471153846153,GA,4,1
1500,96.67467948717949,GA,4,1
30,43.078926282051285,GA,5,1
60,74.07852564102564,GA,5,1
90,80.33854166666667,GA,5,1
120,82.9326923076923,GA,5,1
150,85.29647435897436,GA,5,1
180,85.49679487179488,GA,5,1
210,87.86057692307692,GA,5,1
240,89.08253205128206,GA,5,1
270,89.52323717948718,GA,5,1
300,90.49479166666667,GA,5,1
330,91.00560897435898,GA,5,1
360,91.43629807692308,GA,5,1
390,91.82692307692308,GA,5,1
420,92.2275641025641,GA,5,1
450,92.37780448717949,GA,5,1
480,92.6181891025641,GA,5,1
510,92.86858974358974,GA,5,1
540,93.0088141025641,GA,5,1
570,93.45953525641026,GA,5,1
600,93.63982371794872,GA,5,1
630,93.6698717948718,GA,5,1
660,93.92027243589743,GA,5,1
690,94.1005608974359,GA,5,1
720,94.33092948717949,GA,5,1
750,94.42107371794872,GA,5,1
780,94.50120192307692,GA,5,1
810,94.60136217948718,GA,5,1
840,94.74158653846153,GA,5,1
870,94.85176282051282,GA,5,1
900,95.07211538461539,GA,5,1
930,95.28245192307692,GA,5,1
960,95.3525641025641,GA,5,1
990,95.55288461538461,GA,5,1
1020,95.61298076923077,GA,5,1
1050,95.63301282051282,GA,5,1
1080,95.85336538461539,GA,5,1
1110,95.81330128205128,GA,5,1
1140,95.96354166666667,GA,5,1
1170,96.07371794871794,GA,5,1
1200,96.08373397435898,GA,5,1
1230,95.91346153846153,GA,5,1
1260,96.11378205128206,GA,5,1
1290,96.32411858974359,GA,5,1
1320,96.38421474358974,GA,5,1
1350,96.29407051282051,GA,5,1
1380,96.42427884615384,GA,5,1
1410,96.54447115384616,GA,5,1
1440,96.61458333333333,GA,5,1
1470,96.50440705128206,GA,5,1
1500,96.66466346153847,GA,5,1
30,37.600160256410255,GA,6,1
60,68.56971153846153,GA,6,1
90,77.55408653846153,GA,6,1
120,82.0713141025641,GA,6,1
150,84.54527243589743,GA,6,1
180,85.20633012820512,GA,6,1
210,88.10096153846153,GA,6,1
240,89.25280448717949,GA,6,1
270,89.5332532051282,GA,6,1
300,90.64503205128206,GA,6,1
330,91.0556891025641,GA,6,1
360,91.5264423076923,GA,6,1
390,91.99719551282051,GA,6,1
